l_orderkey;l_partkey;l_suppkey;l_linenumber;l_quantity;l_extendedprice;l_discount;l_tax;l_returnflag;l_linestatus;l_shipdate;l_commitdate;l_receiptdate;l_shipinstruct;l_shipmode;l_comment
1;155190;7706;1;17.00;21168.23;0.04;0.02;N;O;1996-03-13;1996-02-12;1996-03-22;DELIVER IN PERSON;TRUCK;egular courts above the
1;67310;7311;2;36.00;45983.16;0.09;0.06;N;O;1996-04-12;1996-02-28;1996-04-20;TAKE BACK RETURN;MAIL;ly final dependencies: slyly bold 
1;63700;3701;3;8.00;13309.60;0.10;0.02;N;O;1996-01-29;1996-03-05;1996-01-31;TAKE BACK RETURN;REG AIR;riously. regular, express dep
1;2132;4633;4;28.00;28955.64;0.09;0.06;N;O;1996-04-21;1996-03-30;1996-05-16;NONE;AIR;lites. fluffily even de
1;24027;1534;5;24.00;22824.48;0.10;0.04;N;O;1996-03-30;1996-03-14;1996-04-01;NONE;FOB; pending foxes. slyly re
1;15635;638;6;32.00;49620.16;0.07;0.02;N;O;1996-01-30;1996-02-07;1996-02-03;DELIVER IN PERSON;MAIL;arefully slyly ex
2;106170;1191;1;38.00;44694.46;0.000;0.05;N;O;1997-01-28;1997-01-14;1997-02-02;TAKE BACK RETURN;RAIL;ven requests. deposits breach a
3;4297;1798;1;45.00;54058.05;0.06;0.000;R;F;1994-02-02;1994-01-04;1994-02-23;NONE;AIR;ongside of the furiously brave acco
3;19036;6540;2;49.00;46796.47;0.10;0.000;R;F;1993-11-09;1993-12-20;1993-11-24;TAKE BACK RETURN;RAIL; unusual accounts. eve
3;128449;3474;3;27.00;39890.88;0.06;0.07;A;F;1994-01-16;1993-11-22;1994-01-23;DELIVER IN PERSON;SHIP;nal foxes wake. 
3;29380;1883;4;2.00;2618.76;0.01;0.06;A;F;1993-12-04;1994-01-07;1994-01-01;NONE;TRUCK;y. fluffily pending d
3;183095;650;5;28.00;32986.52;0.04;0.000;R;F;1993-12-14;1994-01-10;1994-01-01;TAKE BACK RETURN;FOB;ages nag slyly pending
3;62143;9662;6;26.00;28733.64;0.10;0.02;A;F;1993-10-29;1993-12-18;1993-11-04;TAKE BACK RETURN;RAIL;ges sleep after the caref
4;88035;5560;1;30.00;30690.90;0.03;0.08;N;O;1996-01-10;1995-12-14;1996-01-18;DELIVER IN PERSON;REG AIR;- quickly regular packages sleep. idly
5;108570;8571;1;15.00;23678.55;0.02;0.04;R;F;1994-10-31;1994-08-31;1994-11-20;NONE;AIR;ts wake furiously 
5;123927;3928;2;26.00;50723.92;0.07;0.08;R;F;1994-10-16;1994-09-25;1994-10-19;NONE;FOB;sts use slyly quickly special instruc
5;37531;35;3;50.00;73426.50;0.08;0.03;A;F;1994-08-08;1994-10-13;1994-08-26;DELIVER IN PERSON;AIR;eodolites. fluffily unusual
6;139636;2150;1;37.00;61998.31;0.08;0.03;A;F;1992-04-27;1992-05-15;1992-05-02;TAKE BACK RETURN;TRUCK;p furiously special foxes
7;182052;9607;1;12.00;13608.60;0.07;0.03;N;O;1996-05-07;1996-03-13;1996-06-03;TAKE BACK RETURN;FOB;ss pinto beans wake against th
7;145243;7758;2;9.00;11594.16;0.08;0.08;N;O;1996-02-01;1996-03-02;1996-02-19;TAKE BACK RETURN;SHIP;es. instructions
7;94780;9799;3;46.00;81639.88;0.10;0.07;N;O;1996-01-15;1996-03-27;1996-02-03;COLLECT COD;MAIL; unusual reques
7;163073;3074;4;28.00;31809.96;0.03;0.04;N;O;1996-03-21;1996-04-08;1996-04-20;NONE;FOB;. slyly special requests haggl
7;151894;9440;5;38.00;73943.82;0.08;0.01;N;O;1996-02-11;1996-02-24;1996-02-18;DELIVER IN PERSON;TRUCK;ns haggle carefully ironic deposits. bl
7;79251;1759;6;35.00;43058.75;0.06;0.03;N;O;1996-01-16;1996-02-23;1996-01-22;TAKE BACK RETURN;FOB;jole. excuses wake carefully alongside of 
7;157238;2269;7;5.00;6476.15;0.04;0.02;N;O;1996-02-10;1996-03-26;1996-02-13;NONE;FOB;ithely regula
