s_suppkey;s_name;s_address;s_nationkey;s_phone;s_acctbal;s_comment
1;Supplier#000000001;88eJ5ksX3ImxJQBvxObC;17;27-918-335-1736;5755.94;each
2;Supplier#000000002;89eJ5ksX3ImxJQBvxObC;5;15-679-861-2259;4032.68;asdf
3;Supplier#000000003;q1;1;11-383-516-1199;4192.40;blithely
4;Supplier#000000004;Bk7ah4CK8SYQTepEmvMkkgMwg;15;25-843-787-7479;4641.08;riously
5;Supplier#000000005;Gcdm2rJRzl5qlTVzc;11;21-151-690-3663;-283.84;.
6;Supplier#000000006;tQxuVm7s7CnK;14;24-696-997-4969;1365.79;final
7;Supplier#000000007;s;23;33-990-965-2201;6820.35;s
8;Supplier#000000008;9Sq4bBH2FQEmaFOocY45sRTxo6yuoG;17;27-498-742-3860;7627.85;al
9;Supplier#000000009;1KhUgZegwM3ua7dsYmekYBsK;10;20-403-398-8662;5302.37;s.
10;Supplier#000000010;Saygah3gYWMp72i;24;34-852-489-8585;3891.91;ing
11;Supplier#000000011;JfwTs;18;28-613-996-1505;3393.08;y
12;Supplier#000000012;aLIW;8;18-179-925-7181;1432.69;al
13;Supplier#000000013;HK71HQyWoqRWOX8GI;3;13-727-620-7813;9107.22;requests
14;Supplier#000000014;EXsnO5pTNj4iZRm;15;25-656-247-5058;9189.82;l
15;Supplier#000000015;olXVbNBfVzRqgokr1T;8;18-453-357-6394;308.56;asdf
16;Supplier#000000016;YjP5C55zHDXL7LalK27zfQnwejdpin4AMpvh;22;32-822-502-4215;2972.26;ously
17;Supplier#000000017;c2d;19;29-601-884-9219;1687.81;eep
18;Supplier#000000018;PGGVE5PWAMwKDZw;16;26-729-551-1115;7040.82;accounts
19;Supplier#000000019;edZT3es;24;34-278-310-2731;6150.38;refully
20;Supplier#000000020;iybAE;3;13-715-945-6730;530.82;n
21;Supplier#000000021;81CavellcrJ0PQ3CPBID0Z0JwyJm0ka5igEs;2;12-253-590-5816;9365.80;d.
22;Supplier#000000022;okiiQFk;4;14-144-830-2814;-966.20;asdf
23;Supplier#000000023;ssetugTcXc096qlD7;9;19-559-422-5776;5926.41;ges
24;Supplier#000000024;C4nPvLrVmKPPabFCj;7;10-620-939-2254;9170.71;usly
25;Supplier#000000025;RCQKONXMFnrodzz6w7fObFVV6CUm2q;6;32-431-945-3541;9198.31;ely
