query1|real 0m40.712s|user 0m41.819s|sys 0m2.512s
query10|real 0m12.880s|user 0m13.505s|sys 0m0.460s
query10.alt|real 0m16.034s|user 0m15.849s|sys 0m0.608s
query10p|real 0m12.375s|user 0m13.565s|sys 0m0.616s
query11|real 0m2.844s|user 0m3.224s|sys 0m0.096s
query11p|real 0m2.799s|user 0m3.196s|sys 0m0.072s
query12|real 0m22.287s|user 0m51.635s|sys 0m2.080s
query12p|real 0m21.116s|user 0m54.027s|sys 0m2.332s
query13|real 0m7.161s|user 0m8.201s|sys 0m0.204s
query13p|real 0m6.160s|user 0m8.529s|sys 0m0.224s
query14|real 0m7.149s|user 0m7.168s|sys 0m0.584s
query14.bak|real 0m8.190s|user 0m7.948s|sys 0m0.604s
query14p|real 0m6.807s|user 0m7.348s|sys 0m0.608s
query15|real 0m29.530s|user 0m35.814s|sys 0m1.144s
query16|real 0m5.014s|user 0m5.768s|sys 0m0.404s
query16p|real 0m4.331s|user 0m6.120s|sys 0m0.476s
query17|real 0m37.455s|user 0m1.800s|sys 0m0.016s
query17.bak|real 0m38.935s|user 0m38.390s|sys 0m0.540s
query17p|real 0m37.466s|user 0m39.062s|sys 0m0.440s
query18|real 0m25.780s|user 0m35.398s|sys 0m0.916s
query18p|real 0m25.206s|user 0m36.134s|sys 0m0.856s
query19|real 0m6.698s|user 0m6.820s|sys 0m0.564s
query19.bak|real 0m8.821s|user 0m8.621s|sys 0m0.752s
query19p|real 0m6.494s|user 0m6.920s|sys 0m0.576s
query20|real 0m59.658s|user 1m2.956s|sys 0m4.344s
query20p|real 0m58.698s|user 1m3.524s|sys 0m4.288s
query21|real 1m3.429s|user 1m11.444s|sys 0m1.268s
query21p|real 0m47.283s|user 1m16.937s|sys 0m1.300s
query22|real 0m6.263s|user 0m6.652s|sys 0m0.100s
query22p|real 0m6.038s|user 0m6.820s|sys 0m0.080s
query2p|real 0m5.912s|user 0m6.580s|sys 0m0.284s
query3|real 0m29.580s|user 0m42.115s|sys 0m3.244s
query3p|real 0m31.765s|user 0m44.683s|sys 0m3.268s
query4a|real 0m20.668s|user 0m54.407s|sys 0m2.608s
query4b|real 0m23.576s|user 0m53.407s|sys 0m2.428s
query5b|real 0m24.618s|user 0m26.818s|sys 0m0.820s
query5p|real 0m24.576s|user 0m26.662s|sys 0m0.892s
query6|real 0m7.880s|user 0m7.684s|sys 0m0.524s
query7|real 0m19.206s|user 0m30.414s|sys 0m1.520s
query7.alt|real 0m17.764s|user 0m24.842s|sys 0m1.036s
query7p|real 0m18.541s|user 0m30.470s|sys 0m1.488s
query8|real 0m40.536s|user 0m41.339s|sys 0m2.896s
query8.alt|real 0m50.612s|user 0m49.103s|sys 0m1.732s
query8p|real 0m37.568s|user 0m44.459s|sys 0m2.628s
query9|real 0m54.819s|user 1m10.292s|sys 0m2.548s
query9.alt|real 0m47.609s|user 0m50.403s|sys 0m2.020s
query9p|real 0m53.658s|user 1m10.628s|sys	0m2.608s
