query1|real 9m32.857s|user 9m31.970s|sys 0m49.739s
query10|real 3m15.974s|user 3m24.642s|sys 0m8.759s
query10p|real 3m9.187s|user 3m26.610s|sys 0m9.261s
query11|real 0m34.194s|user 0m37.878s|sys 0m1.686s
query11p|real 0m34.220s|user 0m37.766s|sys 0m1.640s
query12|real 4m21.685s|user 8m54.478s|sys 0m26.273s
query12p|real 3m42.580s|user 9m1.861s|sys 0m27.183s
query13|real 1m40.206s|user 1m53.250s|sys 0m4.347s
query13p|real 1m30.957s|user 1m57.208s|sys 0m4.726s
query14|real 2m8.932s|user 2m9.678s|sys 0m12.308s
query14p|real 2m2.453s|user 2m10.616s|sys 0m12.022s
query15|real 7m26.731s|user 8m7.402s|sys 0m27.885s
query16|real 1m6.396s|user 1m11.125s|sys 0m6.569s
query16p|real 0m56.808s|user 1m13.359s|sys 0m7.201s
query17|real 7m48.630s|user 0m22.020s|sys 0m0.754s
query17p|real 7m52.637s|user 8m6.840s|sys 0m9.326s
query18|real 5m20.389s|user 6m47.595s|sys 0m20.564s
query18p|real 5m8.145s|user 6m57.919s|sys 0m20.536s
query19|real 2m55.907s|user 2m59.125s|sys 0m12.261s
query19p|real 2m52.960s|user 2m58.968s|sys 0m12.193s
query20|real 13m26.291s|user 13m18.047s|sys 1m30.816s
query20p|real 13m32.589s|user 13m27.336s|sys 1m31.657s
query21|real 14m51.314s|user 16m17.387s|sys 0m29.451s
query21p|real 10m42.894s|user 16m17.977s|sys 0m28.387s
query22|real 1m22.748s|user 1m27.505s|sys 0m2.001s
query22p|real 1m17.706s|user 1m27.889s|sys 0m1.971s
query2p|real 1m13.534s|user 1m22.012s|sys 0m4.298s
query3p|real 7m23.247s|user 9m18.016s|sys 0m59.532s
query4a|real 3m54.677s|user 9m26.891s|sys 0m28.586s
query4b|real 3m58.975s|user 8m46.921s|sys 0m27.085s
query5b|real 5m7.112s|user 5m26.370s|sys 0m17.300s
query5p|real 5m5.788s|user 5m24.228s|sys 0m17.527s
query6|real 2m20.614s|user 2m16.706s|sys 0m10.894s
query7|real 4m20.438s|user 5m55.684s|sys 0m33.536s
query7p|real 4m14.706s|user 5m57.255s|sys 0m33.023s
query8|real 8m38.944s|user 8m35.325s|sys 0m49.757s
query8p|real 8m12.842s|user 8m44.417s|sys 0m49.566s
query9|real 15m4.204s|user 17m10.921s|sys 0m52.472s
query9p|real 14m37.647s|user 17m4.015s|sys 0m51.840s
